,,
,,
,,
,,#DIV/0!
,Hammock (pink),5.67
,Hammock (woven),6.20
,Hot mat (large),3.26
,Hot mat (small),6.50
,Hot-water bottle,2.00
,Kick toy (bunny),5.31
,Kick toy (mouse),16.31
,Kotatsu,4.03
,Large cooling mat,29.08
,Lucky cushion,6.25
,Luxurious hammock,37.56
,Marble pad,5.57
,Mister dragonfly,15.86
,Mister mouse,17.23
,Navy-blue cube,3.50
,Panel heater,3.20
,Paper bag,4.88
,Paper umbrella,28.86
,Pickling pot,3.00
,Pile of leaves,24.53
,Pillow (green),46.71
,Plum cushion (red),17.33
,Pom-pom sock,5.00
,Royal bed,4.50
,Rubber ball (red),2.67
,Scratching board,5.00
,Sheep cushion,32.63
,Shopping box (large),6.00
,Silk crepe pillow,4.57
,Space heater,3.06
,Stress reliever,4.45
,Stump house,4.00
,Sunken fireplace,4.90
,Tail-thing teaser,5.71
,Temari ball,34.80
,Tent (blizzard),37.96
,Tiramisu cube,5.00
,Tower of treats,51.67
,Tunnel (3d piece),1.00
,Tunnel (I piece),3.50
,Tunnel (T piece),2.50
,Twisty rail,6.00
,Two-tier cat tree,4.83
,Warm sock,2.50
,Wild-thing teaser,28.60
,Wing-thing teaser,5.48
,Zebra grass gadget,27.87
Snowball / Shironeko-san,Arabesque blanket,28.25
,Art deco cat tree,1.50
,Ball of yarn,3.33
,Baseball,13.38
,Basket case,17.53
,Biscuit mat,3.33
,Black head space,3.25
,Bureau with pot,17.82
,Burger cushion,3.75
,Butterfly swarm,4.75
,Cardboard café,3.00
,Cardboard choo-choo,3.57
,Cardboard house,2.67
,Cardboard truck,1.00
,Carp tunnel,1.00
,Cat condo complex,1.83
,Cat macaroon (green),3.00
,Cat macaroon (pink),2.00
,Cat metropolis,1.80
,Chestnut cushion,3.50
,Choco cornet tunnel,2.13
,Colourful sock,27.00
,Cosy blanket (red),4.20
,Cosy blanket (yellow),52.20
,Cow tunnel,52.00
,Cowboy hat,4.33
,Cream-puff house,2.50
,Cushion (beige),4.58
,Cushion (brown),3.67
,Cushion (pink),54.17
,Cushion (yellow),32.53
,Dice cube,39.75
,Doughnut tunnel,3.00
,Earthenware pot,4.00
,Fairy-tale parasol,34.41
,Fluff-thing teaser,4.13
,Fluffy bed (brown),3.00
,Fluffy bed (pink),5.50
,Fluffy bed (white),2.00
,Fluffy cushion,3.85
,Fruit basket,4.00
,Giant cushion,19.24
,Gift box,4.00
,Goldfish bowl,3.00
,Hammock (pink),1.00
,Hammock (woven),4.25
,Hammock (yellow),4.71
,Head space,4.00
,Heating stove,21.67
,Hot mat (large),2.33
,Hot mat (small),3.67
,Hot-water bottle,3.00
,Kick toy (bunny),3.00
,Kotatsu,6.18
,Lacquered bowl,2.71
,Large cooling mat,17.75
,Lucky cushion,3.50
,Luxurious hammock,38.86
,Maple pillow,25.07
,Navy-blue cube,7.83
,Orange cube,25.25
,Pancake cushion,28.50
,Panel heater,1.50
,Paper bag,38.00
,Paper umbrella,59.84
,Pile of leaves,22.40
,Pillow (green),4.50
,Pillow (purple),3.20
,Pillow (yellow),4.40
,Planter,6.00
,Plum cushion (pink),3.00
,Plum cushion (red),3.29
,Pom-pom sock,2.00
,Rice kettle,6.00
,Rubber ball (red),12.61
,Rubber ball (yellow),2.00
,Sakura pillow,31.60
,Sakuramochi cushion,3.00
,Sheep cushion,3.60
,Shipping box (small),4.00
,Silk crepe pillow,5.00
,Snowy pillow,7.33
,Space heater,1.80
,Stump house,3.75
,Sunken fireplace,4.00
,Tail-thing teaser,64.00
,Temari ball,3.50
,Tent (modern red),27.50
,Thick cooling pad,2.25
,Tiramisu cube,3.85
,Tower of treats,1.00
,Toy capsule,53.20
,Tunnel (3D piece),2.00
,Tunnel (U piece),5.00
,Warm sock,2.00
,Wild-thing teaser,4.00
,Wing-thing teaser,3.00
,Wood pail,2.50
,Zebra grass gadget,3.33
Socks / Kutsushita-san,Art deco cat tree,1.44
,Bean bag,3.17
,Bucket (blue),2.00
,Bureau with pot,23.30
,Burger cushion,4.40
,Cardboard café,11.69
,Cardboard choo-choo,16.20
,Cardboard truck,2.43
,Cat condo complex,24.76
,Cat metropolis,9.48
,Cowboy hat,4.04
,Dice cube,4.20
,Earthenware pot,48.75
,Fluff-thing teaser,3.71
,Gift box,4.33
,Glass vase,4.42
,Hammock (woven),32.00
,Hammock (yellow),3.50
,Heating stove,32.75
,Hot mat (small),28.25
,Hot-water bottle,4.00
,Kotatsu,2.33
,Luxurious hammock,4.00
,Navy-blue cube,2.00
,Paper bag,20.88
,Planter,35.13
,Rice kettle,3.93
,Rubber ball (blue),28.60
,Rubber ball (red),12.50
,Rubber ball (yellow),3.80
,Scratching board,4.00
,Sheep cushion,4.33
,Shipping box (small),102.33
,Shopping box (large),3.75
,Snow sled,21.16
,Tent (modern red),21.65
,Tent (nature),3.55
,Tent (pyramid),3.54
,Thick cooling pad,22.00
,Three-tier cat tree,2.46
,Tiramisu cube,4.00
,Tower of treats,7.07
,Tunnel (3D piece),27.43
,Tunnel (I piece),3.82
,Tunnel (T piece),28.96
,Tunnel (U piece),2.70
,Watermelon ball,53.50
,Wild-thing teaser,4.50
,Wood pail,3.00
Speckles / Kurobuchi-san,Arabesque blanket,7.50
,Art deco cat tree,2.84
,Beach umbrella,18.96
,Bureau with pot,52.13
,Burger cushion,10.00
,Cardboard café,19.26
,Cardboard choo-choo,4.50
,Cardboard house,29.55
,Cat condo complex,6.58
,Cat metropolis,25.56
,Colourful sock,129.50
,Cosy blanket (red),8.00
,Cosy blanket (yellow),23.00
,Cow tunnel,25.21
,Cowboy hat,5.50
,Cushion (yellow),13.31
,Doughnut tunnel,4.80
,Fairy-tale parasol,54.05
,Giant cushion,25.36
,Glass vase,42.00
,Goldfish bowl,9.50
,Heating stove,32.17
,Hot mat (large),5.25
,Hot mat (small),76.40
,Hot-water bottle,5.00
,Kick toy (bunny),18.93
,Kotatsu,22.62
,Large cooling mat,5.23
,Pancake cushion,4.50
,Panel heater,3.83
,Pile of leaves,6.10
,Ping pong ball,5.60
,Pom-pom sock,6.00
,Sheep cushion,6.20
,Snow sled,4.20
,Space heater,35.55
,Stress reliever,5.00
,Sunken fireplace,4.44
,Three-tier cat tree,3.20
,Tower of treats,2.29
,Toy capsule,54.17
,Tunnel (3D piece),25.88
,Tunnel (I piece),6.33
,Tunnel (T piece),4.89
,Tunnel (U piece),29.50
,Twisty rail,4.00
,Two-tier cat tree,26.67
,Warm sock,5.50
Spooky / Haisabi-san,Art deco cat tree,101.50
,Ball of yarn,24.29
,Black head space,48.63
,Bureau with pot,2.83
,Busy bee,49.00
,Butterfly swarm,40.91
,Cardboard choo-choo,5.75
,Cat condo complex,42.00
,Cat macaroon (green),4.00
,Cat macaroon (pink),5.00
,Cat metropolis,2.11
,Chestnut cushion,6.00
,Colourful sock,5.43
,Cushion (green),34.50
,Cushion (yellow),28.77
,Dice cube,5.33
,Fairy-tale parasol,28.50
,Fluff-thing teaser,5.40
,Gift box,4.92
,Kotatsu,6.00
,Mister mouse,21.50
,Navy-blue cube,4.00
,Orange cube,42.17
,Panel heater,44.33
,Paper bag,4.50
,Plastic bag,3.67
,Pom-pom sock,8.00
,Scratching board,7.00
,Scratching post,5.83
,Shopping box (large),33.20
,Space heater,150.00
,Stump house,6.00
,Tail-thing teaser,5.33
,Tent (blizzard),4.75
,Tent (modern red),6.50
,Tent (nature),6.50
,Tent (pyramid),5.75
,Tiramisu cube,3.00
,Tower of treats,43.83
,Two-tier cat tree,54.20
,Wild-thing teaser,64.67
,Wing-thing teaser,5.00
,Wood pail,3.67
,Zebra grass gadget,54.58
Spots / Shirokuro-san,Arabesque blanket,2.75
,Baseball,3.33
,Bean bag,4.00
,Black head space,8.00
,Bucket (blue),29.23
,Bucket (red),2.80
,Bucket (yellow),3.00
,Bureau with pot,1.82
,Burger cushion,3.50
,Busy bee,2.00
,Cake box,52.20
,Cardboard café,8.39
,Cardboard choo-choo,2.17
,Cardboard house,41.00
,Cardboard truck,2.50
,Carp tunnel,32.08
,Cat condo complex,1.81
,Cat metropolis,15.18
,Choco cornet tunnel,23.62
,Cool aluminum pad,3.94
,Cow tunnel,2.39
,Cowboy hat,3.60
,Cushion (pink),3.00
,Dice cube,25.57
,Doughnut tunnel,2.50
,Earthenware pot,52.75
,Fish-stick tunnel,19.06
,Giant cushion,10.08
,Gift box,3.00
,Glass vase,10.82
,Hammock (yellow),35.67
,Hot mat (large),18.88
,Kick toy (mouse),3.33
,Kotatsu,3.00
,Lacquered bowl,2.00
,Large cooling mat,3.57
,Luxurious hammock,3.42
,Mister dragonfly,3.00
,Mister mouse,90.75
,Navy-blue cube,5.00
,Orange cube,15.58
,Paper bag,2.25
,Pile of leaves,3.25
,Ping pong ball,4.00
,Plastic bag,4.00
,Rice kettle,3.50
,Rubber ball (blue),63.80
,Rubber ball (red),4.50
,Rubber ball (yellow),4.33
,Scratching board,5.00
,Snow sled,2.29
,Space heater,10.67
,Tent (modern red),3.00
,Tent (nature),28.31
,Three-tier cat tree,1.00
,Tower of treats,1.00
,Toy capsule,2.75
,Tunnel (3D piece),18.30
,Tunnel (I piece),2.17
,Tunnel (T piece),7.18
,Tunnel (U piece),3.50
,Two-tier cat tree,3.00
,Watermelon ball,21.75
Spud / Akasabi-san,Black head space,3.13
,Cardboard choo-choo,2.00
,Cardboard house,1.87
,Cat condo complex,1.45
,Cat macaroon (pink),2.25
,Cat pancake,1.40
,Chestnut cushion,3.57
,Cream-puff house,2.40
,Dice cube,3.25
,Earthenware pot,3.15
,Glass vase,2.67
,Head space,3.50
,Kotatsu,1.54
,Large cooling mat,2.29
,Maple pillow,4.00
,Marble pad,2.90
,Navy-blue cube,52.00
,Orange cube,24.77
,Panel heater,2.25
,Pillow (green),2.00
,Sakura pillow,13.94
,Shopping box (large),2.00
,Snow sled,2.00
,Stump house,2.78
,Sunken fireplace,2.40
,Tail-thing teaser,2.88
,Temari ball,11.08
,Three-tier cat tree,1.00
,Tiramisu cube,2.60
,Tower of treats,1.00
,Tunnel (3D piece),1.50
,Tunnel (I piece),2.33
,Tunnel (T piece),2.50
,Tunnel (U piece),2.60
,Twisty rail,72.20
,Two-tier cat tree,3.00
,Zebra grass gadget,39.88
Sunny / Tobimike-san,Baseball,23.22
,Bucket (blue),10.50
,Bucket (red),31.53
,Bucket (yellow),1.90
,Bureau with pot,1.27
,Burger cushion,28.33
,Busy bee,19.93
,Cake box,10.22
,Cardboard choo-choo,2.00
,Cardboard house,28.00
,Cardboard truck,1.75
,Carp tunnel,2.15
,Cat condo complex,7.28
,Cat metropolis,21.31
,Cool aluminum pad,2.33
,Cowboy hat,2.95
,Glass vase,5.58
,Goldfish bowl,3.17
,Hammock (pink),51.20
,Kick toy (mouse),11.60
,Kotatsu,21.90
,Large cooling mat,5.15
,Mister dragonfly,2.31
,Mister mouse,27.33
,Orange cube,5.00
,Panel heater,2.12
,Paper bag,34.33
,Pile of leaves,2.50
,Planter,3.00
,Plastic bag,2.00
,Sakuramochi cushion,3.09
,Scratching board,2.00
,Shopping box (large),25.85
,Snow sled,35.64
,Soccer ball,2.82
,Tail-thing teaser,10.67
,Thick cooling pad,2.80
,Three-tier cat tree,13.31
,Tiramisu cube,2.60
,Tower of treats,13.21
,Tunnel (3D piece),31.93
,Tunnel (I piece),2.00
,Tunnel (T piece),1.73
,Tunnel (U piece),3.11
,Twisty rail,44.75
,Two-tier cat tree,2.60
,Wing-thing teaser,20.11
,Zebra grass gadget,3.34
Tabitha / Shimamike-san,Arabesque blanket,4.53
,Basket case,26.11
,Bean bag,53.30
,Biscuit mat,5.00
,Burger cushion,23.60
,Butterfly swarm,5.17
,Cardboard house,2.69
,Cat condo complex,26.22
,Cat macaroon (green),2.00
,Cat macaroon (pink),2.75
,Cat metropolis,13.37
,Cosy blanket (red),5.00
,Cosy blanket (yellow),4.45
,Cow tunnel,2.38
,Cowboy hat,3.10
,Cream-puff house,3.00
,Cushion (beige),4.11
,Cushion (yellow),14.48
,Dice cube,3.67
,Earthenware pot,3.86
,Fluffy bed (brown),3.50
,Fluffy bed (pink),4.00
,Fluffy bed (white),118.67
,Fluffy cushion,28.92
,Fruit basket,19.96
,Giant cushion,16.46
,Gift box,3.50
,Goldfish bowl,2.60
,Hammock (woven),3.00
,Hammock (yellow),4.58
,Heating stove,2.38
,Hot mat (large),40.10
,Hot mat (small),4.00
,Hot-water bottle,5.00
,Kotatsu,14.07
,Large cooling mat,17.86
,Lucky cushion,4.20
,Luxurious hammock,27.39
,Navy-blue cube,3.45
,Orange cube,20.44
,Pancake cushion,3.43
,Panel heater,61.80
,Paper bag,2.43
,Pile of leaves,3.52
,Pillow (green),2.50
,Pillow (purple),4.67
,Pillow (yellow),27.86
,Planter,29.33
,Rice kettle,2.75
,Rubber ball (blue),37.33
,Rubber ball (red),3.44
,Rubber ball (yellow),4.13
,Sakuramochi cushion,102.33
,Shipping box (small),4.25
,Space heater,2.67
,Stress reliever,23.38
,Stump house,43.20
,Sunken fireplace,3.00
,Tiramisu cube,4.33
,Tower of treats,1.00
,Two-tier cat tree,28.50
,Warm sock,42.78
,Watermelon ball,4.19
,Wild-thing teaser,3.00
,Wood pail,2.40
Tubbs / Manzoku-san,Frisky bitz,58.86
,Ritzy bitz,64.18
,Sashimi,48.60
Willie / Kurotora-san,Art deco cat tree,8.13
,Basket case,3.56
,Beach umbrella,35.86
,Cardboard café,7.94
,Cardboard choo-choo,3.50
,Cardboard house,2.33
,Cardboard truck,5.00
,Cat pancake,46.27
,Dice cube,24.20
,Fairy-tale parasol,10.09
,Glass vase,3.33
,Goldfish bowl,5.67
,Kotatsu,12.42
,Large cooling mat,15.04
,Navy-blue cube,2.33
,Panel heater,36.17
,Paper umbrella,11.76
,Ping pong ball,3.78
,Scratching board,59.75
,Sunken fireplace,3.00
,Thick cooling pad,4.20
,Tower of treats,23.14
,Toy capsule,3.67
Xerxes IX / Prince-san,Royal bed,52.75
,Zanzibar cushion,60.17
